Tijdstip	Zonnepaneelspanning (V)	Zonnepaneelstroom (A)	Waterstofproductie (L/u)	Stroomverbruik woning (kW)	Waterstofverbruik auto (L/u)	Buitentemperatuur (°C)	Binnentemperatuur (°C)	Luchtdruk (hPa)	Luchtvochtigheid (%)	Accuniveau (%)	CO2-concentratie binnen (ppm)	Waterstofopslag woning (%)	Waterstofopslag auto (%)
14-6-2025 00:00	4,1	0,098042185	0,017399685	0,744267307	0	3,858237262	20,81984231	1012,138969	71,23386847	99,92935564	495,0305955	0	71,8
14-6-2025 00:15	4,1	0,103300228	0,018332837	0,693933438	0	3,669635562	21,47318476	1011,389408	72,95322835	99,86396944	496,5594982	0	73,6
14-6-2025 00:30	4,1	0,05738134	0,010183547	0,733039975	0	5,07684934	20,98148044	1012,242442	71,40510026	99,79280687	485,3073681	0	75,4
14-6-2025 00:45	4,1	0,129589924	0,022998506	0,802378178	0	3,926729007	21,18895439	1012,485733	69,90138336	99,71761258	516,6757626	0	77,2
14-6-2025 01:00	4,1	0,11713194	0,02078757	0,815920276	0	3,94527299	21,08943365	1012,388864	68,98064681	99,64055719	503,948662	0	79
14-6-2025 01:15	4,1	0,120478424	0,021381476	0,807228642	0	3,651083846	21,4009431	1012,407389	71,04116332	99,56450835	503,8884627	0	80,8
14-6-2025 01:30	4,1	0,110409521	0,019594533	0,794700065	0	4,046961639	21,60635018	1013,196162	68,29155047	99,48930839	507,1996534	0	82,6
14-6-2025 01:45	4,1	0,086984042	0,01543718	0,764423525	0	4,778009442	21,36065126	1013,42498	70,22045686	99,41619649	483,6616668	0	84,4
14-6-2025 02:00	4,1	0,122285862	0,021702244	0,814497068	0	5,024471752	21,35237118	1012,941315	72,98319174	99,33949211	496,6965529	0	86,2
14-6-2025 02:15	4,1	0,145146231	0,025759306	0,700209972	0	4,366917941	21,48161316	1013,19069	68,48970325	99,27516832	496,3051077	0	88
14-6-2025 02:30	4,1	0,089447945	0,015874453	0,873049268	0	5,12554072	21,5927566	1012,468915	65,88289081	99,19126705	506,4680076	0	89,8
14-6-2025 02:45	4,1	0,107497842	0,019077793	0,812341459	0	4,327332871	21,52148704	1013,577264	68,34538444	99,11418096	506,8380351	0	91,6
14-6-2025 03:00	4,1	0,087446007	0,015519166	0,794017791	0	5,501121788	21,93828384	1012,959244	67,2661498	99,03812112	495,1007155	0	93,4
14-6-2025 03:15	4,1	0,090591232	0,016077354	0,797937693	0	4,921712982	21,4039447	1012,974461	67,41575571	98,96179547	520,9464381	0	95,2
